Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1,N322AA,AA1JFKLAX,Arrive,LAX,12:00,1204,-118.4080556,33.9425
American,AA,1,N322AA,AA1JFKLAX,Depart,JFK,8:55,855,-73.77888889,40.63972222
American,AA,10,N332AA,AA10LAXJFK,Arrive,JFK,6:20,621,-73.77888889,40.63972222
American,AA,10,N332AA,AA10LAXJFK,Depart,LAX,22:25,2227,-118.4080556,33.9425
American,AA,1001,N559AA,AA1001DFWCOS,Arrive,COS,19:25,1926,-104.7,38.80555556
American,AA,1001,N559AA,AA1001DFWCOS,Depart,DFW,18:40,1841,-97.0375,32.89638889
American,AA,1002,N3AVAA,AA1002LAXORD,Arrive,ORD,23:35,2335,-87.90444444,41.97944444
American,AA,1002,N3AVAA,AA1002LAXORD,Depart,LAX,18:00,1801,-118.4080556,33.9425
American,AA,1003,N269AA,AA1003ORFDFW,Arrive,DFW,14:35,1435,-97.0375,32.89638889
American,AA,1003,N269AA,AA1003ORFDFW,Depart,ORF,11:55,1155,-76.20111111,36.89444444
American,AA,1004,N519AA,AA1004STLORD,Arrive,ORD,8:25,825,-87.90444444,41.97944444
American,AA,1004,N519AA,AA1004STLORD,Depart,STL,6:50,653,-90.35972222,38.7475
American,AA,1005,N5TAAA,AA1005LGATPA,Arrive,TPA,10:25,1027,-82.53305556,27.97527778
American,AA,1005,N5TAAA,AA1005LGATPA,Depart,LGA,7:40,741,-73.8725,40.77722222
American,AA,1006,N5EWAA,AA1006LASMIA,Arrive,MIA,15:00,1501,-80.29055556,25.79305556
American,AA,1006,N5EWAA,AA1006LASMIA,Depart,LAS,7:05,707,-115.1522222,36.08027778
American,AA,1007,N631AA,AA1007DFWPHX,Arrive,PHX,11:25,1127,-112.0080556,33.43416667
American,AA,1007,N631AA,AA1007DFWPHX,Depart,DFW,9:50,953,-97.0375,32.89638889
American,AA,1008,N4TGAA,AA1008LASDFW,Arrive,DFW,15:20,1523,-97.0375,32.89638889
American,AA,1008,N4TGAA,AA1008LASDFW,Depart,LAS,10:45,1048,-115.1522222,36.08027778
American,AA,1009,N518AA,AA1009DFWOAK,Arrive,OAK,13:50,1352,-122.2205556,37.72111111
American,AA,1009,N518AA,AA1009DFWOAK,Depart,DFW,12:00,1202,-97.0375,32.89638889
American,AA,1010,N457AA,AA1010PBILGA,Arrive,LGA,23:20,2321,-73.8725,40.77722222
American,AA,1010,N457AA,AA1010PBILGA,Depart,PBI,20:15,2015,-80.09555556,26.68305556
American,AA,1012,N468AA,AA1012MIARDU,Arrive,RDU,13:25,1327,-78.78722222,35.8775
American,AA,1012,N468AA,AA1012MIARDU,Depart,MIA,11:30,1132,-80.29055556,25.79305556
American,AA,1014,N242AA,AA1014COSDFW,Arrive,DFW,13:50,1352,-97.0375,32.89638889
American,AA,1014,N242AA,AA1014COSDFW,Depart,COS,11:15,1117,-104.7,38.80555556
American,AA,1014,N242AA,AA1014DFWSAT,Arrive,SAT,16:10,1611,-98.46972222,29.53361111
American,AA,1014,N242AA,AA1014DFWSAT,Depart,DFW,15:00,1501,-97.0375,32.89638889
American,AA,1016,N5TXAA,AA1016LASDFW,Arrive,DFW,20:00,2001,-97.0375,32.89638889
American,AA,1016,N5TXAA,AA1016LASDFW,Depart,LAS,15:35,1536,-115.1522222,36.08027778
American,AA,1017,N227AA,AA1017ORDSAN,Arrive,SAN,19:20,1920,-117.1894444,32.73333333
American,AA,1017,N227AA,AA1017ORDSAN,Depart,ORD,17:00,1702,-87.90444444,41.97944444
American,AA,1019,N051AA,AA1019BOSSJU,Arrive,SJU,12:10,1211,-66.00166667,18.43916667
American,AA,1019,N051AA,AA1019BOSSJU,Depart,BOS,7:25,727,-71.005,42.36416667
American,AA,102,N395AA,AA102HNLDFW,Arrive,DFW,6:00,600,-97.0375,32.89638889
American,AA,102,N395AA,AA102HNLDFW,Depart,HNL,19:10,1914,-157.9266667,21.31583333
American,AA,1020,N287AA,AA1020ORDMSP,Arrive,MSP,21:05,2106,-93.21666667,44.88027778
American,AA,1020,N287AA,AA1020ORDMSP,Depart,ORD,19:40,1941,-87.90444444,41.97944444
American,AA,1021,N234AA,AA1021ORDDEN,Arrive,DEN,16:40,1640,-104.6669444,39.85833333
American,AA,1021,N234AA,AA1021ORDDEN,Depart,ORD,15:05,1508,-87.90444444,41.97944444
American,AA,1022,N516AA,AA1022PSPDFW,Arrive,DFW,11:30,1134,-97.0375,32.89638889
American,AA,1022,N516AA,AA1022PSPDFW,Depart,PSP,6:55,658,-116.5066667,33.82944444
American,AA,1023,N562AA,AA1023DFWSFO,Arrive,SFO,18:40,1842,-122.3747222,37.61888889
American,AA,1023,N562AA,AA1023DFWSFO,Depart,DFW,16:55,1657,-97.0375,32.89638889
American,AA,1024,N486AA,AA1024DFWMIA,Arrive,MIA,19:15,1918,-80.29055556,25.79305556
American,AA,1024,N486AA,AA1024DFWMIA,Depart,DFW,15:15,1515,-97.0375,32.89638889
American,AA,1025,N513AA,AA1025ORDMCI,Arrive,MCI,0:05,9,-94.71388889,39.2975
American,AA,1025,N513AA,AA1025ORDMCI,Depart,ORD,22:25,2227,-87.90444444,41.97944444
American,AA,1025,N513AA,AA1025TPAORD,Arrive,ORD,21:30,2133,-87.90444444,41.97944444
American,AA,1025,N513AA,AA1025TPAORD,Depart,TPA,19:45,1948,-82.53305556,27.97527778
American,AA,1026,N408AA,AA1026DFWMCI,Arrive,MCI,8:05,805,-94.71388889,39.2975
American,AA,1026,N408AA,AA1026DFWMCI,Depart,DFW,6:40,640,-97.0375,32.89638889
American,AA,1027,N5TDAA,AA1027DFWONT,Arrive,ONT,21:25,2127,-117.6011111,34.05583333
American,AA,1027,N5TDAA,AA1027DFWONT,Depart,DFW,20:10,2010,-97.0375,32.89638889
American,AA,1028,N599AA,AA1028STLLGA,Arrive,LGA,17:15,1719,-73.8725,40.77722222
