Region,State,Year,Population,Total Rate,Violent Rate,Property Rate,Murder Rate,Rape Rate,Robbery Rate,Agg-Aslt Rate,Burglary Rate,Larceny Rate,MVTheft Rate,Murder,Rape,Robbery,Agg-Aslt,Burglary,Larceny,MVTheft,Total,Violent,Property,Latitude,Longitude
South,Alabama,1973,3539000,0.025122916077988,0.003500988979938,0.021621927098050,0.000132240745973,0.000212206838090,0.000793727041537,0.002362814354337,0.008819723085617,0.010530658378073,0.002271545634360,468,751,2809,8362,31213,37268,8039,88910,12390,76520,32.799,-86.8073
South,Alabama,1974,3577000,0.030001118255521,0.003728823036064,0.026272295219458,0.000149846239866,0.000226726306961,0.000995806541795,0.002356443947442,0.010578976796198,0.013087223930668,0.002606094492592,536,811,3562,8429,37841,46813,9322,107314,13338,93976,32.799,-86.8073
South,Alabama,1975,3614000,0.034725235196458,0.003929441062535,0.030795794133924,0.000159656889873,0.000204205866076,0.001230215827338,0.002335362479247,0.011637797454344,0.016455451023796,0.002702545655783,577,738,4446,8440,42059,59470,9767,125497,14201,111296,32.799,-86.8073
South,Alabama,1976,3665000,0.038082673942701,0.003887585266030,0.034195088676671,0.000150886766712,0.000216643929059,0.000960436562074,0.002559618008186,0.011699590723056,0.019872305593452,0.002623192360164,553,794,3520,9381,42879,72832,9614,139573,14248,125325,32.799,-86.8073
South,Alabama,1977,3690000,0.037126016260163,0.004144444444444,0.032981571815718,0.000142005420054,0.000251761517615,0.000968021680217,0.002782655826558,0.011355284552846,0.018818970189702,0.002807317073171,524,929,3572,10268,41901,69442,10359,136995,15293,121702,32.799,-86.8073
South,Alabama,1978,3742000,0.039387760555853,0.004190807055051,0.035196953500802,0.000133351149118,0.000254943880278,0.000990913949759,0.002811598075895,0.012293158738642,0.019878941742384,0.003024853019776,499,954,3708,10521,46001,74387,11319,147389,15682,131707,32.799,-86.8073
South,Alabama,1979,3769000,0.042438312549748,0.004133191828071,0.038305120721677,0.000131599893871,0.000275139294243,0.001094985407270,0.002631467232688,0.012872645263996,0.022231626426108,0.003200849031573,496,1037,4127,9918,48517,83791,12064,159950,15578,144372,32.799,-86.8073
South,Alabama,1980,3861466,0.049336443723705,0.004485343131339,0.044851100592366,0.000131815222509,0.000299886105432,0.001321259853123,0.002732381950275,0.015266740662743,0.026422348403430,0.003162011526192,509,1158,5102,10551,58952,102029,12210,190511,17320,173191,32.799,-86.8073
South,Alabama,1981,3916000,0.048987231869254,0.004704545454545,0.044282686414709,0.000118743615935,0.000260725229826,0.001264555669050,0.003060520939734,0.014507405515833,0.026933350357508,0.002841930541369,465,1021,4952,11985,56811,105471,11129,191834,18423,173411,32.799,-86.8073
South,Alabama,1982,3943000,0.046335531321329,0.004477047933046,0.041858483388283,0.000105757037788,0.000260207963480,0.001120213035760,0.002990869896018,0.012561755008877,0.026563530306873,0.002733198072534,417,1026,4417,11793,49531,104740,10777,182701,17653,165048,32.799,-86.8073
South,Alabama,1983,3959000,0.041010608739581,0.004160394038899,0.036850214700682,0.000091942409699,0.000235160394039,0.000983834301591,0.002849456933569,0.010731245263956,0.023813841879262,0.002305127557464,364,931,3895,11281,42485,94279,9126,162361,16471,145890,32.799,-86.8073
South,Alabama,1984,3990000,0.039020300751880,0.004311779448622,0.034708521303258,0.000093734335840,0.000251127819549,0.000960651629073,0.003006265664160,0.010017543859649,0.022355388471178,0.002335588972431,374,1002,3833,11995,39970,89198,9319,155691,17204,138487,32.799,-86.8073
South,Alabama,1985,4021000,0.039421288236757,0.004575478736633,0.034845809500124,0.000098482964437,0.000268341208655,0.001053717980602,0.003154936582940,0.010348669485203,0.021911962198458,0.002585177816464,396,1079,4237,12686,41612,88108,10395,158513,18398,140115,32.799,-86.8073
South,Alabama,1986,4053000,0.042883543054528,0.005580064150012,0.037303478904515,0.000100912904022,0.000283740439181,0.001115963483839,0.004079447322971,0.011589933382680,0.023043671354552,0.002669874167283,409,1150,4523,16534,46974,93396,10821,173807,22616,151191,32.799,-86.8073
South,Alabama,1987,4083000,0.044514082782268,0.005592211609111,0.038921871173157,0.000093068821945,0.000278471711976,0.001121969140338,0.004098701934852,0.011983100661279,0.024310555963752,0.002628214548126,380,1137,4581,16735,48927,99260,10731,181751,22833,158918,32.799,-86.8073
South,Alabama,1988,4127000,0.045616913011873,0.005585655439787,0.040031257572086,0.000098861158226,0.000297552701720,0.001177610855343,0.004011630724497,0.012338260237461,0.025025926823358,0.002667070511267,408,1228,4860,16556,50920,103282,11007,188261,23052,165209,32.799,-86.8073
South,Alabama,1989,4118000,0.046278047595920,0.005907965031569,0.040370082564352,0.000102234094220,0.000309859154930,0.001339242350656,0.004156629431763,0.011467702768334,0.025927877610491,0.002974502185527,421,1276,5515,17117,47224,106771,12249,190573,24329,166244,32.799,-86.8073
South,Alabama,1990,4040587,0.049152264262594,0.007085604146130,0.042066660116463,0.000115577266372,0.000326437718084,0.001436672443880,0.005206916717794,0.011034287839861,0.027554412267327,0.003477960009276,467,1319,5805,21039,44585,111336,14053,198604,28630,169974,32.799,-86.8073
South,Alabama,1991,4089000,0.053656150648080,0.008441672780631,0.045214477867449,0.000114697970164,0.000355832721937,0.001527512839325,0.006443629249205,0.012685986793837,0.028894839814136,0.003633651259477,469,1455,6246,26348,51873,118151,14858,219400,34518,184882,32.799,-86.8073
South,Alabama,1992,4136000,0.052681092843327,0.008716634429400,0.043964458413927,0.000110009671180,0.000411992263056,0.001648694390716,0.006545938104449,0.011860009671180,0.028481866537718,0.003622582205029,455,1704,6819,27074,49053,117801,14983,217889,36052,181837,32.799,-86.8073
South,Alabama,1993,4187000,0.048787676140435,0.007804155720086,0.040983520420349,0.000115595892047,0.000351325531407,0.001594697874373,0.005742536422259,0.010885598280392,0.026720324814903,0.003377597325054,484,1471,6677,24044,45578,111878,14142,204274,32676,171598,32.799,-86.8073
South,Alabama,1994,4219000,0.049030338942878,0.006836691159042,0.042193647783835,0.000118748518606,0.000352453187959,0.001712017065655,0.004653472386822,0.010444181085565,0.028431144821048,0.003318321877222,501,1487,7223,19633,44064,119951,14000,206859,28844,178015,32.799,-86.8073
South,Alabama,1995,4253000,0.048480601928051,0.006323536327298,0.042157065600752,0.000111685868798,0.000317422995533,0.001857512344228,0.004036915118740,0.010248295320950,0.028442746296732,0.003466023983071,475,1350,7900,17169,43586,120967,14741,206188,26894,179294,32.799,-86.8073
South,Alabama,1996,4273000,0.048200795693892,0.005653873157033,0.042546922536859,0.000103908261175,0.000326936578516,0.001667212731102,0.003555815586239,0.010021296512989,0.028867306342148,0.003658319681722,444,1397,7124,15194,42821,123350,15632,205962,24159,181803,32.799,-86.8073
South,Alabama,1997,4319000,0.048897429960639,0.005644593655939,0.043252836304700,0.000098633943042,0.000323222968280,0.001604769622598,0.003617967122019,0.010137994906228,0.029547580458440,0.003567260940032,426,1396,6931,15626,43786,127616,15407,211188,24379,186809,32.799,-86.8073
South,Alabama,1998,4352000,0.045970818014706,0.005120863970588,0.040849954044118,0.000081341911765,0.000331571691176,0.001309283088235,0.003398667279412,0.009642693014706,0.027790211397059,0.003417049632353,354,1443,5698,14791,41965,120943,14871,200065,22286,177779,32.799,-86.8073
South,Alabama,1999,4370000,0.044123340961098,0.004901830663616,0.039221510297483,0.000078947368421,0.000346224256293,0.001212128146453,0.003264530892449,0.008843935926773,0.027372082379863,0.003005491990847,345,1513,5297,14266,38648,119616,13134,192819,21421,171398,32.799,-86.8073
South,Alabama,2000,4447100,0.045458613478447,0.004861595196870,0.040597018281577,0.000073980796474,0.000333250882598,0.001282183895123,0.003172179622675,0.009069056238897,0.028647658024331,0.002880304018349,329,1482,5702,14107,40331,127399,12809,202159,21620,180539,32.799,-86.8073
South,Alabama,2001,4468912,0.043150323837211,0.004381827165091,0.038768496672121,0.000084808114369,0.000306338545042,0.001249521136241,0.002741159369439,0.009094383599409,0.026850383270022,0.002823729802690,379,1369,5584,12250,40642,119992,12619,192835,19582,173253,32.799,-86.8073
South,Alabama,2002,4478896,0.044727763270234,0.004449980530917,0.040277782739318,0.000067650599612,0.000371520124602,0.001331131600287,0.002679678206415,0.009506360495979,0.027670211587856,0.003101210655483,303,1664,5962,12002,42578,123932,13890,200331,19931,180400,32.799,-86.8073
South,Alabama,2003,4503726,0.044756719214268,0.004292223816458,0.040464495397811,0.000066389473960,0.000367695548086,0.001340667704918,0.002517471089493,0.009602049503012,0.027541417928178,0.003321027966621,299,1656,6038,11338,43245,124039,14957,201572,19331,182241,32.799,-86.8073
South,Alabama,2004,4525375,0.044562936773196,0.004270143358285,0.040292793414910,0.000056127945198,0.000384940474546,0.001335137971991,0.002493936966550,0.009870121260669,0.027323702455598,0.003098969698644,254,1742,6042,11286,44666,123650,14024,201664,19324,182340,32.799,-86.8073
South,Alabama,2005,4548327,0.043328239152550,0.004326425958380,0.039001813194170,0.000082228036814,0.000343862699406,0.001417444260274,0.002482890961886,0.009558019904901,0.026554818947714,0.002888974341555,374,1564,6447,11293,43473,120780,13140,197071,19678,177393,32.799,-86.8073
South,Alabama,2006,4599030,0.043622242081482,0.004252418444759,0.039369823636723,0.000080016873123,0.000359423617589,0.001534236567276,0.002278741386771,0.009689217074035,0.026451229933269,0.003229376629420,368,1653,7056,10480,44561,121650,14852,200620,19557,181063,32.799,-86.8073
South,Alabama,2007,4627851,0.044227655557623,0.004478968748130,0.039748686809493,0.000084704542130,0.000333848259160,0.001599446481747,0.002460969465093,0.009801525589307,0.026870355160527,0.003076806059659,392,1545,7402,11389,45360,124352,14239,204679,20728,183951,32.799,-86.8073
South,Alabama,2008,4677464,0.045195644477435,0.004512915545689,0.040682728931746,0.000076323409437,0.000345913939690,0.001570081565566,0.002520596630995,0.010770579955292,0.027036231599003,0.002875917377451,357,1618,7344,11790,50379,126461,13452,211401,21109,190292,32.799,-86.8073
South,Alabama,2009,4708708,0.042304810576489,0.004501022361123,0.037803788215366,0.000068383938864,0.000319408211340,0.001330513593113,0.002782716617807,0.010373121459220,0.025075243569998,0.002355423186148,322,1504,6265,13103,48844,118072,11091,199201,21194,178007,32.799,-86.8073
South,Alabama,2010,4779736,0.038945247185200,0.003777614495863,0.035167632689337,0.000057116125242,0.000282233160995,0.000996080118232,0.002442185091394,0.008794209554670,0.024155727429297,0.002217695705370,273,1349,4761,11673,42034,115458,10600,186148,18056,168092,32.799,-86.8073
Pacific,Alaska,1973,330000,0.049433333333333,0.003845454545455,0.045587878787879,0.000100000000000,0.000445454545455,0.000669696969697,0.002630303030303,0.011672727272727,0.028654545454546,0.005260606060606,33,147,221,868,3852,9456,1736,16313,1269,15044,61.385,-152.2683
Pacific,Alaska,1974,337000,0.052397626112760,0.004531157270030,0.047866468842730,0.000136498516320,0.000492581602374,0.000884272997033,0.003017804154303,0.011667655786350,0.029721068249258,0.006477744807122,46,166,298,1017,3932,10016,2183,17658,1527,16131,61.385,-152.2683
Pacific,Alaska,1975,352000,0.061965909090909,0.005397727272727,0.056568181818182,0.000122159090909,0.000446022727273,0.001295454545455,0.003534090909091,0.012144886363636,0.035224431818182,0.009198863636364,43,157,456,1244,4275,12399,3238,21812,1900,19912,61.385,-152.2683
Pacific,Alaska,1976,382000,0.062206806282723,0.005400523560209,0.056806282722513,0.000112565445026,0.000468586387435,0.001248691099476,0.003570680628272,0.012180628272251,0.036568062827225,0.008057591623037,43,179,477,1364,4653,13969,3078,23763,2063,21700,61.385,-152.2683
